date,building_number,month,year,container_type,service_type,bill_description,description,bill_desc_original,desc_original,container_quantity,volume_per_container,weekly_pickups,volume_collected_per_week,total_volume_per_week,waste_stream,share_of_commingled_volume,total_commingled_waste,waste_this_month,data_version
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,6.89,6.89,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.08,8.08,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.89,7.89,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,6.3,6.3,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,5.02,5.02,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.76,7.76,032820-00
1/1/14,259,January,2014,4FL,FL,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,1,4,2,8,3558,On-Grounds,0.22,179.02,0.4,032820-00
1/1/14,105,January,2014,6FL,FL,McLeod Hall,McLeod Hall,McLeod Hall,McLeod Hall,1,6,5,30,3558,Clinical MSW,0.84,179.02,1.51,032820-00
1/1/14,55,January,2014,T96,FL,McGuffey Alley,McGuffey Alley,McGuffey Alley,McGuffey Alley,3,0.5,4,6,3558,Housing,0.17,179.02,0.3,032820-00
1/1/14,5577,January,2014,8FL,FL,Frank C McCue Ctr,Frank C McCue Center,McCue Center,Frank C McCue Center,1,8,5,40,3558,Athletics,1.12,179.02,2.01,032820-00
1/1/14,331,January,2014,T96,FL,Mccormick Observatory,McCormick Observatory,McCormick Observ.,McCormick Observatory,1,0.5,1,0.5,3558,On-Grounds,0.01,179.02,0.03,032820-00
1/1/14,556,January,2014,4FL,FL,Mat Mgmt Storage P&T,Mat Mgmt Storage P&T,Mat Mgmt Storage P&T,Mat Mgmt Storage P&T,1,4,1,4,3558,Maintenance,0.11,179.02,0.2,032820-00
1/1/14,2427,January,2014,8FL,FL,Mary Munford Hall,Mary Munford Hall,Mary Munford Hall,Mary Munford Hall,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,7242,January,2014,6FL,FL,Main Heating Plant,Main Heating Plant,Main Heating Plant,Main Heating Plant,1,6,5,30,3558,On-Grounds,0.84,179.02,1.51,032820-00
1/1/14,421,January,2014,4FL,FL,Madison Hall,Madison Hall,Madison Hall,Madison Hall,1,4,2,8,3558,On-Grounds,0.22,179.02,0.4,032820-00
1/1/14,0,January,2014,,FL,Lile-Maupin,Lili-Maupin ,Lile-Maupin,Lili-Maupin ,1,0,6,0,3558,Housing,0,179.02,,032820-00
1/1/14,527,January,2014,6FL,FL,Law/Withers-Brown,Withers-Brown,Law/ Withers-Brown,Withers-Brown,1,6,5,30,3558,Law School,0.84,179.02,1.51,032820-00
1/1/14,527,January,2014,6FL,FL,Law School Slaughter,Slaughter Hall,Law School Slaughter,Slaughter Hall,1,6,3,18,3558,Law School,0.51,179.02,0.91,032820-00
1/1/14,2464,January,2014,,FL,Lambeth Store,Lambeth Store,Lambeth Store,Lambeth Store,1,0,6,0,3558,Housing,0,179.02,,032820-00
1/1/14,2464,January,2014,,FL,Lambeth Field Dorms,Lambeth Field Dorms,Lambeth Field Dorms,Lambeth Field Dorms,2,0,6,0,3558,Housing,0,179.02,,032820-00
1/1/14,1600,January,2014,6FL,FL,Kluge Child Rehab,Kluge Child Rehab.,Kluge Child Rehab,Kluge Child Rehab.,1,6,3,18,3558,Clinical MSW,0.51,179.02,0.91,032820-00
1/1/14,0,January,2014,8FL,FL,Klockner Stadium,Klockner Stadium,Klockner Stadium UVA,Klockner Stadium,1,8,2,16,3558,Athletics,0.45,179.02,0.81,032820-00
1/1/14,5502,January,2014,8FL,FL,Klockner Stadium,Klockner Stadium,Klockner Stadium,Klockner Stadium,1,8,2,16,3558,Athletics,0.45,179.02,0.81,032820-00
1/1/14,2210,January,2014,6FL,FL,Kent & Dabney House,Kent & Dabney House,Kent & Dabney House,Kent & Dabney House,1,6,6,36,3558,Housing,1.01,179.02,1.81,032820-00
1/1/14,2030,January,2014,T96,FL,East Range Dr,East Lawn,East Range Dr,East Lawn,6,0.5,4,12,3558,Housing,0.34,179.02,0.6,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,5.74,5.74,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Rotunda 6,East Lawn Rotunda,East Lawn Rotunda 6,East Lawn Rotunda,1,0.5,4,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Rotunda 4,East Lawn Rotunda,East Lawn Rotunda 4,East Lawn Rotunda,1,0.5,4,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,1194,January,2014,6FL,FL,Cobb Hall,Cobb Hall,Cobb Hall,Cobb Hall,1,6,3,18,3558,On-Grounds,0.51,179.02,0.91,032820-00
1/1/14,68,January,2014,8FL,FL,Clark Hall,Clark Hall,Clark Hall,Clark Hall,1,8,5,40,3558,On-Grounds,1.12,179.02,2.01,032820-00
1/1/14,800,January,2014,4FL,FL,Child Care Ctr-Copel,Copeley Child Care Center,Child Care Ctr-Copel,Copeley Child Care Center,1,4,2,8,3558,Off-Grounds,0.22,179.02,0.4,032820-00
1/1/14,256,January,2014,8FL,FL,Chemistry Building,Chemistry Building,Chemistry Bldg,Chemistry Building,1,8,6,48,3558,On-Grounds,1.35,179.02,2.42,032820-00
1/1/14,125,January,2014,2FL,FL,Central Grounds Pkng,Central Grounds Parking,Central Grounds Pkng,Central Grounds Parking,1,2,0,0,3558,On-Grounds,0,179.02,,032820-00
1/1/14,125,January,2014,8FL,FL,Central Grounds Pk 2,Central Grounds Parking,Central Grounds Pk 2,Central Grounds Parking,1,8,6,48,3558,On-Grounds,1.35,179.02,2.42,032820-00
1/1/14,5502,January,2014,8FL,FL,Cauthen 2012,Cauthen,Cauthen 2012,Cauthen,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,2132,January,2014,8FL,FL,Casa Bolivar Spanish,Casa Bolivar Spanish,Casa Bolivar/Spanish,Casa Bolivar Spanish,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,580,January,2014,6FL,FL,Carruthers Hall 2,Carruthers Hall,Carruthers Hall 2,Carruthers Hall,1,6,2,12,3558,Off-Grounds,0.34,179.02,0.6,032820-00
1/1/14,580,January,2014,8FL,FL,Carruthers Hall 1,Carruthers Hall,Carruthers Hall 1,Carruthers Hall,1,8,3,24,3558,Off-Grounds,0.67,179.02,1.21,032820-00
1/1/14,2400,January,2014,2FL,FL,Carr's Hill/Pres House,Carr's Hill,Carr's Hill/Pres Hou,Carr's Hill,1,2,1,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,438,January,2014,8FL,FL,Campbell Hall,Campbell Hall,Campbell Hall,Campbell Hall,1,8,3,24,3558,On-Grounds,0.67,179.02,1.21,032820-00
1/1/14,527,January,2014,8FL,FL,Cafe N @ Law School,CafÃÂÃÂ© N. @ Law School,CafÃÂÃÂ© N. @ Law School,CafÃÂÃÂ© N. @ Law School,1,8,6,48,3558,Aramark,1.35,179.02,2.42,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley Apts 285 Peyton,Copeley Apartments,Copeley 1 285 Peyton,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,59,January,2014,8FL,FL,Cabell-Bryan Hall,Cabell-Bryan Hall,Cabell-Bryan Hall,Cabell-Bryan Hall,1,8,6,48,3558,On-Grounds,1.35,179.02,2.42,032820-00
1/1/14,64,January,2014,T96,FL,Brooks Hall,Brooks Hall,Brooks Hall,Brooks Hall,2,0.5,3,3,3558,On-Grounds,0.08,179.02,0.15,032820-00
1/1/14,125,January,2014,2FL,FL,Bookstore Warehouse,Bookstore Warehouse,Bookstore Warehouse,Bookstore Warehouse,1,2,1,2,3558,Off-Grounds,0.06,179.02,0.1,032820-00
1/1/14,2210,January,2014,8FL,FL,Bonnycastle,Bonnycastle,Bonnycastle,Bonnycastle,2,8,6,96,3558,Housing,2.7,179.02,4.83,032820-00
1/1/14,631,January,2014,2FL,FL,Birdwood Pavilion,Birdwood Pavilion,Birdwood Pavilion,Birdwood Pavilion,1,2,1,2,3558,Off-Grounds,0.06,179.02,0.1,032820-00
1/1/14,5618,January,2014,8FL,FL,Birdwood Golf Course,Birdwood Golf Course,Birdwood Golf Course,Birdwood Golf Course,1,8,2,16,3558,Maintenance,0.45,179.02,0.81,032820-00
1/1/14,2146,January,2014,8FL,FL,Bice House Container,Bice,Bice House Container,Bice,1,8,3,24,3558,Housing,0.67,179.02,1.21,032820-00
1/1/14,2369,January,2014,8FL,FL,Balz-Dobie,Balz-Dobie,Balz-Dobie,Balze-Dobie,1,8,3,24,3558,Housing,0.67,179.02,1.21,032820-00
1/1/14,252,January,2014,4FL,FL,Astronomy Building,Astronomy Building,Astronomy Building,Astronomy Building,1,4,1,4,3558,On-Grounds,0.11,179.02,0.2,032820-00
1/1/14,5271,January,2014,4FL,FL,Aquatic/ Fitness 4Yd,Aquatic & Fitness Center,Aquatic/ Fitness 4yd,Aquatic & Fitness Center,1,4,2,8,3558,IM-Rec,0.22,179.02,0.4,032820-00
1/1/14,3432,January,2014,6FL,FL,Alumni Hall,Alumni Hall,Alumni Hall,Alumni Hall,1,6,6,36,3558,On-Grounds,1.01,179.02,1.81,032820-00
1/1/14,82,January,2014,8FL,FL,Alderman Library,Alderman Library,Alderman Library,Alderman Library,1,8,6,48,3558,On-Grounds,1.35,179.02,2.42,032820-00
1/1/14,321,January,2014,2FL,FL,Aerospace Research Lab,Aerospace Research Lab,Aerospace Res. Lab,Aerospace Research Lab,1,2,1,2,3558,Off-Grounds,0.06,179.02,0.1,032820-00
1/1/14,3656,January,2014,8FL,FL,2400 Old Ivy Road,2400 Old Ivy Road,2400 Old Ivy Road,2400 Old Ivy Road,1,8,1,8,3558,Off-Grounds,0.22,179.02,0.4,032820-00
1/1/14,0,January,2014,10F,FL,Bryant Hall Stadium,Bryant Hall Stadium,Bryant Hall Stadium,Bryant Hall Stadium,1,10,3,30,3558,On-Grounds,0.84,179.02,1.51,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley Apts 304 Peyton,Copeley Apartments,Copeley 1 304 Peyton,Copeley Apartments,1,8,3,24,3558,Housing,0.67,179.02,1.21,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley Apts 410 Seymour,Copeley Apartments,Copeley 1 410Seymour,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley Apts 443 Seymour,Copeley Apartments,Copeley 1 448Seymour,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Rotunda 3,East Lawn Rotunda,East Lawn Rotunda 3,East Lawn Rotunda,1,0.5,4,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Rotunda 2,East Lawn Rotunda,East Lawn Rotunda 2,East Lawn Rotunda,1,0.5,4,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Rotunda 1,East Lawn Rotunda,East Lawn Rotunda 1,East Lawn Rotunda,1,0.5,4,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Lile Alley,East Lawn,East Lawn Lile Alley,East Lawn,2,0.5,4,4,3558,Housing,0.11,179.02,0.2,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Key 2,East Lawn,East Lawn Key 2,East Lawn,1,0.5,4,2,3558,Housing,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Key 1,East Lawn,East Lawn Key 1,East Lawn,1,0.5,4,2,3558,Housing,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Green 2,East Lawn,East Lawn Green 2,East Lawn,1,0.5,4,2,3558,Housing,0.06,179.02,0.1,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Green 1,East Lawn,East Lawn Green 1,East Lawn,1,0.5,4,2,3558,Housing,0.06,179.02,0.1,032820-00
1/1/14,1146,January,2014,8FL,FL,E. Couric Cancer Ctr,Emily Couric Cancer Center,E. Couric Cancer Ctr,Emily Couric Cancer Center,1,8,6,48,3558,Clinical MSW,1.35,179.02,2.42,032820-00
1/1/14,2616,January,2014,T96,FL,Duke House/Sunnyside,Duke House,Duke House/Sunnyside,Duke House,1,0.5,1,0.5,3558,Housing,0.01,179.02,0.03,032820-00
1/1/14,2381,January,2014,8FL,FL,Gooch Dillard Dorms,Gooch Dillard Dorms,Dillard&Gooch Dorms,Gooch Dillard Dorms,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,2381,January,2014,8FL,FL,Gooch Dillard Dorms,Gooch Dillard Dorms,Dillard Gooch Dorms,Gooch Dillard Dorms,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,0,January,2014,8FL,FL,Darden Compactor,Darden School,Darden Compactor,Darden School,1,8,5,40,3558,Darden,1.12,179.02,2.01,032820-00
1/1/14,2306,January,2014,8FL,FL,Courtenay House,Courtenay House,Courtenay House,Courtenay House,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,1198,January,2014,8FL,FL,Core Lab,Core Lab,Core Lab,Core Lab,1,8,6,48,3558,Clinical MSW,1.35,179.02,2.42,032820-00
1/1/14,2830,January,2014,8FL,FL,CopeleyIII Buckler 3,Copeley Apartments,CopeleyIII Buckler 3,Copeley Apartments,1,8,2,16,3558,Housing,0.45,179.02,0.81,032820-00
1/1/14,2830,January,2014,8FL,FL,CopeleyIII Buckler 2,Copeley Apartments,CopeleyIII Buckler 2,Copeley Apartments,1,8,3,24,3558,Housing,0.67,179.02,1.21,032820-00
1/1/14,2830,January,2014,8FL,FL,CopeleyIII Buckler 1,Copeley Apartments,CopeleyIII Buckler 1,Copeley Apartments,1,8,2,16,3558,Housing,0.45,179.02,0.81,032820-00
1/1/14,2800,January,2014,4FL,FL,CopeleyII 520Seymour,Copeley Apartments,CopeleyII 520Seymour,Copeley Apartments,1,4,1,4,3558,Housing,0.11,179.02,0.2,032820-00
1/1/14,2800,January,2014,8FL,FL,CopeleyII 476Farrish,Copeley Apartments,CopeleyII 476Farrish,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,8FL,FL,CopeleyII 454Farrish,Copeley Apartments,CopeleyII 454Farrish,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,8FL,FL,CopeleyII 422Farrish,Copeley Apartments,CopeleyII 422Farrish,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,4FL,FL,CopeleyII 406Farrish,Copeley Apartments,CopeleyII 406Farrish,Copeley Apartments,1,4,1,4,3558,Housing,0.11,179.02,0.2,032820-00
1/1/14,2800,January,2014,4FL,FL,Copeley 1 -Seymour,Copeley Apartments,Copeley 1 -Seymour,Copeley Apartments,1,4,1,4,3558,Housing,0.11,179.02,0.2,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley 1 Apts,Copeley Apartments,Copeley 1 Apts,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley Apts 547 Seymour,Copeley Apartments,Copeley 1 547Seymour,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,6FL,FL,Copeley Apts 510 Seymour,Copeley Apartments,Copeley 1 510Seymour,Copeley Apartments,1,6,1,6,3558,Housing,0.17,179.02,0.3,032820-00
1/1/14,2800,January,2014,8FL,FL,Copeley Apts 499 Seymour,Copeley Apartments,Copeley 1 499Seymour,Copeley Apartments,1,8,1,8,3558,Housing,0.22,179.02,0.4,032820-00
1/1/14,2800,January,2014,4FL,FL,Copeley Apts 475 Seymour,Copeley Apartments,Copeley 1 475Seymour,Copeley Apartments,1,4,1,4,3558,Housing,0.11,179.02,0.2,032820-00
1/1/14,2030,January,2014,T96,FL,East Lawn Rotunda 5,East Lawn Rotunda,East Lawn Rotunda 5,East Lawn Rotunda,1,0.5,4,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,6.26,6.26,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.24,7.24,032820-00
1/1/14,1181,January,2014,8FL,FL,Medical School Can 1,Medical School,Medical School Can 1,Medical School,1,8,5,40,3558,Clinical MSW,1.12,179.02,2.01,032820-00
1/1/14,,January,2014,RO,RO,Drama,Drama,UVA DRAMA                     ,Drama,1,,1,0,,On-Grounds,100,3.11,3.11,032820-00
1/1/14,,January,2014,RO,RO,Drama,Drama,UVA DRAMA                     ,Drama,1,,1,0,,On-Grounds,100,0,,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,7.05,7.05,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,4.29,4.29,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,6.39,6.39,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,6.52,6.52,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,7.63,7.63,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,5.54,5.54,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,7.22,7.22,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,5.04,5.04,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,4.23,4.23,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,6.52,6.52,032820-00
1/1/14,,January,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,2.83,2.83,032820-00
1/1/14,,January,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,1.46,1.46,032820-00
